ClinicName,Street,HouseNumber,Postcode,City,Phone,Email,Website,Latitude,Longitude,GoogleMaps
Dr. dent. Jalil Mohammadi Mosanen,,,,Berlin,+49 30 4946030,,,52.5577563,13.37902,"https://www.google.com/maps/search/?api=1&query=52.5577563,13.37902"
Dr. Dieter Hankel/ Dr. Bettina Heukenkamp,,,,Berlin,+49 30 79404075,,,52.4474077,13.3427458,"https://www.google.com/maps/search/?api=1&query=52.4474077,13.3427458"
Dr. Dietmar Kuhn,,,,Berlin,,,,52.4655522,13.3846106,"https://www.google.com/maps/search/?api=1&query=52.4655522,13.3846106"
Dr. Farina Fenske,Herbert-Baum-Straße,5,13088,Berlin,+49 30 9250625,info@dr-fenske.de,https://dr-fenske.de/,52.5488994,13.4561336,"https://www.google.com/maps/search/?api=1&query=52.5488994,13.4561336"
Dr. Feick,,,,Berlin,+4930 4481243,ina.feick@t-online.de,http://www.ina-marina-feick.de,52.5368334,13.4075971,"https://www.google.com/maps/search/?api=1&query=52.5368334,13.4075971"
Dr. Flentje · Zahnarztpraxis,Fürstendamm,1A,13465,Berlin,+4930 610 821 11 0,praxis@dr-flentje.de,https://dr-flentje.de/,52.63268,13.2923219,"https://www.google.com/maps/search/?api=1&query=52.63268,13.2923219"
Dr. Freidon Fathi,Ritterstraße,45,10969,Berlin,+49 30 6142442,,https://praxisfathi.de/,52.5040428,13.4019016,"https://www.google.com/maps/search/?api=1&query=52.5040428,13.4019016"
Dr. Gabriela Uhlmann,Neuköllner Straße,292,,Berlin,+49 30 28836837,,,52.4228595,13.4865025,"https://www.google.com/maps/search/?api=1&query=52.4228595,13.4865025"
Dr. Gerald Keller und Dr. Deepa Rayamajhi,Wühlischstraße,30,10245,Berlin,+49 30 291 17 47,,,52.5097313,13.4574298,"https://www.google.com/maps/search/?api=1&query=52.5097313,13.4574298"
Dr. Grun,Manfred-von-Richthofen-Straße,16,12101,Berlin,+49 30 7865191,,http://www.zahnaerztin-grun.de/,52.4833242,13.3821413,"https://www.google.com/maps/search/?api=1&query=52.4833242,13.3821413"
Dr. Gudrun Anschütz,Karl-Marx-Straße,192,12055,Berlin,,,,52.473042,13.4407002,"https://www.google.com/maps/search/?api=1&query=52.473042,13.4407002"
Dr. Gunnar Frahn,,,,Berlin,,,,52.4840406,13.5257706,"https://www.google.com/maps/search/?api=1&query=52.4840406,13.5257706"
Dr. Günter Matthies,Westfälische Straße,31,10709,Berlin,,,,52.4957412,13.2976289,"https://www.google.com/maps/search/?api=1&query=52.4957412,13.2976289"
Dr. Haase,Hohenzollerndamm,28a,10713,Berlin,+4930 863 99 100,info@zahnarzt-drhaase.de,http://www.zahnarzt-drhaase.de,52.4915968,13.3171553,"https://www.google.com/maps/search/?api=1&query=52.4915968,13.3171553"
Dr. Hager,Lowise-Reuter-Ring,15,12359,Berlin,,,,52.4488152,13.4477893,"https://www.google.com/maps/search/?api=1&query=52.4488152,13.4477893"
Dr. Heike Wachtel,Lenbachstraße,8,10245,Berlin,+49 30 2910884,info@dr-wachtel-heike.de,https://www.dr-wachtel-heike.de/,52.5053348,13.4662764,"https://www.google.com/maps/search/?api=1&query=52.5053348,13.4662764"
"Dr. Heinze, ZA Agababyan",Sesenheimer Straße,17,10627,Berlin,+49 30 8815857,,http://www.dr-w-heinze.de/,52.5106023,13.3075195,"https://www.google.com/maps/search/?api=1&query=52.5106023,13.3075195"
Dr. I. N. Falorni,Chausseestraße,10,,Berlin,,,,52.5284016,13.3860163,"https://www.google.com/maps/search/?api=1&query=52.5284016,13.3860163"
Dr. Ingo Eberth,Goßlerstraße,17,12161,Berlin,+49 30 2153774,info@zahnarzt-eberth.de,https://www.zahnarzt-eberth-friedenau.de/,52.4687392,13.3240438,"https://www.google.com/maps/search/?api=1&query=52.4687392,13.3240438"
Dr. Ingrid Ispas,,,,Berlin,+49307858022,,,52.4927661,13.3817171,"https://www.google.com/maps/search/?api=1&query=52.4927661,13.3817171"
Dr. Jain,,,,Berlin,,,,52.510536,13.2834044,"https://www.google.com/maps/search/?api=1&query=52.510536,13.2834044"
Dr. Jan B. Schibenes & Kollegen,Normannenstraße,1-2,,Berlin,+49 30 35122218,praxis@dr-schibenes.de,https://www.dr-schibenes.de,52.516091,13.4803854,"https://www.google.com/maps/search/?api=1&query=52.516091,13.4803854"
Dr. Jan-Hendrik Hollenstein & Kollegen,Marienfelder Allee,75-79,12277,Berlin,,,,52.4192555,13.3684671,"https://www.google.com/maps/search/?api=1&query=52.4192555,13.3684671"
Dr. Jörg-Michael Lorenz;Dr. Deniz Uğur-Lorenz,Hauptstraße,34 / 35,10827,Berlin,,,,52.4846763,13.352598,"https://www.google.com/maps/search/?api=1&query=52.4846763,13.352598"
Dr. K & K Zahnärzte,Zepernicker Straße,56,13125,Berlin,+49309490084,,https://dr-krause.jimdofree.com/,52.6411024,13.5127197,"https://www.google.com/maps/search/?api=1&query=52.6411024,13.5127197"
Dr. K & K Zahnärzte,Alt-Buch,57,13125,Berlin,+493094413544,,https://dr-krause.jimdofree.com/,52.6364062,13.5023791,"https://www.google.com/maps/search/?api=1&query=52.6364062,13.5023791"
Dr. Kappel,,,,Berlin,,,,52.5212264,13.1996766,"https://www.google.com/maps/search/?api=1&query=52.5212264,13.1996766"
Dr. Karin Wellnitz,Rheinsteinstraße,4,10318,Berlin,,,,52.4827042,13.5268049,"https://www.google.com/maps/search/?api=1&query=52.4827042,13.5268049"
Dr. Kathrin Lehmann,Koppenstraße,75,10243,Berlin,+49 30 2965422,info@zahnarzt-lehmann.com,http://zahnarztpraxis-dres-lehmann.de/,52.5142527,13.4348448,"https://www.google.com/maps/search/?api=1&query=52.5142527,13.4348448"
Dr. Katja Hasselberg,Salzburger Straße,11,10825,Berlin,,,https://dr-hasselberg.de/,52.4880852,13.3413838,"https://www.google.com/maps/search/?api=1&query=52.4880852,13.3413838"
Dr. Katrin Nestler,Greifswalder Straße,89,10409,Berlin,+49 30 4479525,,https://zahnarzt-dr-nestler.de/,52.5430606,13.4417455,"https://www.google.com/maps/search/?api=1&query=52.5430606,13.4417455"
Dr. Klaus Hunger,Schorlemerallee,7A,14195,Berlin,,,http://www.dr-hunger.de/,52.4660201,13.3055214,"https://www.google.com/maps/search/?api=1&query=52.4660201,13.3055214"
Dr. Kogan & Kollegen,,,,Berlin,,,,52.5420417,13.4125991,"https://www.google.com/maps/search/?api=1&query=52.5420417,13.4125991"
Dr. Korbel Praxis für Umwelt-Zahnmedizin,Giesebrechtstraße,21,10629,Berlin,+49 30 3236161,z@hnaerzte.info,https://zahnschmelz.info,52.5030427,13.3086878,"https://www.google.com/maps/search/?api=1&query=52.5030427,13.3086878"
Dr. Kreller & Dr. Joos,,,,Berlin,+49 30 8927501,,https://www.zahnarztpraxis-kreller.de,52.4959329,13.2966509,"https://www.google.com/maps/search/?api=1&query=52.4959329,13.2966509"
Dr. Kunze,Pasewalker Straße,8,13347,Berlin,+49 30 4552288,,https://www.zahnarztpraxis-drkunze.de/,52.5450138,13.3677187,"https://www.google.com/maps/search/?api=1&query=52.5450138,13.3677187"
Dr. Kurt Feierl,Residenzstraße,10,13409,Berlin,,,,52.5721741,13.3595313,"https://www.google.com/maps/search/?api=1&query=52.5721741,13.3595313"
Dr. Károly Horváth,Hermannstraße,256-258,12049,Berlin,+49 30 6214080,,https://www.dr-horvath.de/,52.485938,13.424505,"https://www.google.com/maps/search/?api=1&query=52.485938,13.424505"
Dr. Leopold Lechler,Unter den Eichen,57,12203,Berlin,+49 30 84109906,praxis@dres-lechler.de,https://www.zahnaerzte-berlin-steglitz.de/,52.446548,13.2950506,"https://www.google.com/maps/search/?api=1&query=52.446548,13.2950506"
Dr. Leuenberg Zahnarztpraxis,Charlottenburger Straße,1,13086,Berlin,+49 30 9253416,mail@leuenberg-zahnarztpraxis.de,https://www.leuenberg-zahnarztpraxis.de,52.5500515,13.4536477,"https://www.google.com/maps/search/?api=1&query=52.5500515,13.4536477"
"Dr. Markus Hoffmann, Gerhard Gneist",Spießweg,35,13437,Berlin,,,,52.5934552,13.326335,"https://www.google.com/maps/search/?api=1&query=52.5934552,13.326335"
Dr. Martina Geier,Gabriel-Max-Straße,1,10245,Berlin,+49 30 2912501,,,52.5092595,13.457922,"https://www.google.com/maps/search/?api=1&query=52.5092595,13.457922"
Dr. med. A. Uebel,Eduardstraße,18,,Berlin,+49305104117,,,52.5051486,13.4934898,"https://www.google.com/maps/search/?api=1&query=52.5051486,13.4934898"
Dr. med. Ch. Röhnert,Seelower Straße,9,10439,Berlin,+49 30 4458655,info@zahnarztprenzlauerberg.de,https://www.zahnarztprenzlauerberg.de/,52.5520266,13.4108073,"https://www.google.com/maps/search/?api=1&query=52.5520266,13.4108073"
Dr. med. dent. Achim Wundt;Cathrin Wundt,Carmerstraße,7,10623,Berlin,,,,52.5069584,13.3234346,"https://www.google.com/maps/search/?api=1&query=52.5069584,13.3234346"
Dr. med. dent. Alexander Korb,,,,Berlin,,,,52.5138251,13.5543173,"https://www.google.com/maps/search/?api=1&query=52.5138251,13.5543173"
Dr. med. dent. Alexander T. Simeon,,,,Berlin,+49 30 45606426,,,52.5502372,13.3529351,"https://www.google.com/maps/search/?api=1&query=52.5502372,13.3529351"
Dr. med. dent. Beate Viol,Teterower Ring,41,12619,Berlin,+49 30 5622169,,,52.5219921,13.5863687,"https://www.google.com/maps/search/?api=1&query=52.5219921,13.5863687"
Dr. med. dent. Christoph Kossack,,,,Berlin,,,,52.5112454,13.6126287,"https://www.google.com/maps/search/?api=1&query=52.5112454,13.6126287"
Dr. med. dent. Eva Helldörfer,Amendestraße,109,13409,Berlin,+4930 4962021,,,52.5675086,13.362953,"https://www.google.com/maps/search/?api=1&query=52.5675086,13.362953"
Dr. med. dent. Evelin und Agnes Rößner,Weerthstraße,7,12489,Berlin,+49 30 6775587,info@zahnarzt-in-adlershof.de,https://zahnarzt-in-adlershof.de/,52.4348552,13.5438258,"https://www.google.com/maps/search/?api=1&query=52.4348552,13.5438258"
Dr. med. dent. Gabriele Grafentin,Heerstraße,417,13593,Berlin,+49 30 363 11 14,,,52.5194539,13.1640816,"https://www.google.com/maps/search/?api=1&query=52.5194539,13.1640816"
Dr. med. dent. Heike Tischer,,,,Berlin,,,,52.5527983,13.4157657,"https://www.google.com/maps/search/?api=1&query=52.5527983,13.4157657"
Dr. med. dent. Johannes Zielasko,Ferdinandstraße,25,12209,Berlin,+49 30 7725003,,https://dr-zielasko.de/,52.4262736,13.3295649,"https://www.google.com/maps/search/?api=1&query=52.4262736,13.3295649"
Dr. med. dent. Julia Hauschildt,,,,Berlin,+49 30 4911950,,https://www.zahnarzt-hauschildt.de,52.5685501,13.3792441,"https://www.google.com/maps/search/?api=1&query=52.5685501,13.3792441"
Dr. med. dent. Karl-Heinz Kossack,,,,Berlin,,,,52.5112454,13.6126287,"https://www.google.com/maps/search/?api=1&query=52.5112454,13.6126287"
Dr. med. dent. Kathrin Käppler,,,,Berlin,,,,52.5112454,13.6126287,"https://www.google.com/maps/search/?api=1&query=52.5112454,13.6126287"
Dr. med. dent. Marcus Nowak,,,,Berlin,,,,52.5105924,13.270895,"https://www.google.com/maps/search/?api=1&query=52.5105924,13.270895"
"Dr. med. dent. Martin Kraemer
Gemeinschaftspraxis",Hildburghauser Straße,29 b,,Berlin,+49 30 7218420,,,52.4130508,13.352793,"https://www.google.com/maps/search/?api=1&query=52.4130508,13.352793"
Dr. med. dent. Nicole Dlabka,Sundgauer Straße,87,14169,Berlin,+493080 90 91 800,info@zahnarzt-zehlendorf-paro.de,https://www.zahnarzt-zehlendorf-paro.de/,52.4388582,13.2712769,"https://www.google.com/maps/search/?api=1&query=52.4388582,13.2712769"
Dr. med. dent. Norbert Kruse,Neuköllner Straße,352,12355,Berlin,+49 30 66909553,dr.norbertkruse@gmx.de,https://www.schoene-zaehne-rudow.de/,52.4152518,13.4969754,"https://www.google.com/maps/search/?api=1&query=52.4152518,13.4969754"
Dr. med. dent. Stella Talesnik,Landauer Straße,9,14197,Berlin,,,,52.4727155,13.3172496,"https://www.google.com/maps/search/?api=1&query=52.4727155,13.3172496"
Dr. med. dent. Ulrike Müller,Holsteinische Straße,19,10717,Berlin,,,https://die-zahnarztpraxis-wilmersdorf.de/,52.4910653,13.3250814,"https://www.google.com/maps/search/?api=1&query=52.4910653,13.3250814"
Dr. med. dent. Wolfgang Schilling,,,,Berlin,,,,52.4201197,13.4920765,"https://www.google.com/maps/search/?api=1&query=52.4201197,13.4920765"
Dr. med. Kerstin Hanig - Fachzahnärztin für Kieferorthopädie,Bucher Chaussee,5,13125,Berlin,+49 30 9416661,,,52.6165109,13.4859093,"https://www.google.com/maps/search/?api=1&query=52.6165109,13.4859093"
Dr. Med. M. Dachner,Motzstraße,11,10777,Berlin,+49 30 2162931,,,52.4983531,13.3504395,"https://www.google.com/maps/search/?api=1&query=52.4983531,13.3504395"
Dr. med. Peter Czaikowski Fachzahnarzt,Senftenberger Straße,1,12627,Berlin,+49 30 208983114,,https://www.arzttermine.de/arzt/dr-peter-czaikowski,52.538299,13.6012464,"https://www.google.com/maps/search/?api=1&query=52.538299,13.6012464"
Dr. medic. stom. Gennady Esterov,Hohenzollerndamm,187,10713,Berlin,,,,52.4916029,13.3188315,"https://www.google.com/maps/search/?api=1&query=52.4916029,13.3188315"
Dr. Michael Hopp,,,,Berlin,,,,52.4281705,13.3269189,"https://www.google.com/maps/search/?api=1&query=52.4281705,13.3269189"
Dr. Michael Vortmann,Holsteinische Straße,22,12161,Berlin,+49 30 85075140,,,52.4656943,13.3317434,"https://www.google.com/maps/search/?api=1&query=52.4656943,13.3317434"
Dr. Miethe,Wiltbergstraße,28,,Berlin,+49 30 9492173,,https://www.zahnarzt-miethe.de/,52.6365143,13.4933777,"https://www.google.com/maps/search/?api=1&query=52.6365143,13.4933777"
Dr. Olivia Schallmayer,,,,Berlin,+49 30 5122157,info@zahnarztpraxis-schallmayer.de,https://zahnarztpraxis-schallmayer.de/,52.4992037,13.507033,"https://www.google.com/maps/search/?api=1&query=52.4992037,13.507033"
Dr. Paul Held,Tempelhofer Damm,178,12099,Berlin,+49 30 7516019,,http://www.kfo-held.de/,52.4613699,13.3846378,"https://www.google.com/maps/search/?api=1&query=52.4613699,13.3846378"
Dr. Paul-Olaf Beeking und Paul Schewtschenko,Sonntagstraße,1,10245,Berlin,+49 30 2910667,,https://zahnaerzte-am-ostkreuz.de/,52.504498,13.4680341,"https://www.google.com/maps/search/?api=1&query=52.504498,13.4680341"
Dr. Proft & Freunde,Hauptstraße,19,10827,Berlin,+49 307881108,,http://doktor-proft.de/,52.4866852,13.35649,"https://www.google.com/maps/search/?api=1&query=52.4866852,13.35649"
Dr. Rainer Hohenwald und Kolleginnen,Rüdesheimer Straße,43,14197,Berlin,,,,52.4691579,13.3120757,"https://www.google.com/maps/search/?api=1&query=52.4691579,13.3120757"
Dr. Reinhard Fleckenstein,Magistratsweg,21,13593,Berlin,+49 30 3631058,,,52.5226048,13.1618565,"https://www.google.com/maps/search/?api=1&query=52.5226048,13.1618565"
Dr. Robert Schulz,Goebelstraße,117,13629,Berlin,+49 30 3813400,,,52.539162,13.2721971,"https://www.google.com/maps/search/?api=1&query=52.539162,13.2721971"
Dr. Roman Kogan,Schönhauser Allee,48,10437,Berlin,+49 30 4440978,info@kogan-berlin.de,http://www.kogan-berlin.de/,52.5421277,13.4127111,"https://www.google.com/maps/search/?api=1&query=52.5421277,13.4127111"
Dr. Sabine Weiß & Juliane Sonnen,Hubertusstraße,11,12163,Berlin,+49 30 7937413,,http://www.dr-sabine-weiss.de/,52.4603579,13.3258882,"https://www.google.com/maps/search/?api=1&query=52.4603579,13.3258882"
Dr. Sandra G. Ammar,Lankwitzer Straße,9,12209,Berlin,+49 30 70082772,,,52.4292553,13.3312356,"https://www.google.com/maps/search/?api=1&query=52.4292553,13.3312356"
Dr. Saskia Herbst-Liebmann Kieferorthopädie,Länderallee,10,14052,Berlin,+49 30 3045891,,https://www.kieferorthopaedin.berlin/,52.5098903,13.261588,"https://www.google.com/maps/search/?api=1&query=52.5098903,13.261588"
Dr. Seda Sanli,Eisenacher Straße,108,10777,Berlin,+49 30 21750660,zahnarztpraxis@dr-seda-sanli.de,https://dr-seda-sanli.de/,52.4965965,13.3498142,"https://www.google.com/maps/search/?api=1&query=52.4965965,13.3498142"
Dr. Siebert,,,,Berlin,,,,52.499994,13.3163677,"https://www.google.com/maps/search/?api=1&query=52.499994,13.3163677"
"Dr. Simon, Simon-Kurzawa",,,,Berlin,,,,52.4096662,13.4043955,"https://www.google.com/maps/search/?api=1&query=52.4096662,13.4043955"
Dr. Springer,Berliner Straße,3,13187,Berlin,,,https://pankow-zahnarzt.berlin,52.5701667,13.4104527,"https://www.google.com/maps/search/?api=1&query=52.5701667,13.4104527"
Dr. Stefan Naumann,Auguste-Viktoria-Straße,7,14193,Berlin,,,https://www.dr-naumann.berlin/,52.4916714,13.2908659,"https://www.google.com/maps/search/?api=1&query=52.4916714,13.2908659"
Dr. Susanne C. Albrecht,Badensche Straße,54,10825,Berlin,,,http://albrechtonline.de/,52.4854009,13.3398712,"https://www.google.com/maps/search/?api=1&query=52.4854009,13.3398712"
Dr. Susanne Karsten;Dr. Claudia Dietrich,Aßmannshauser Straße,11a,14197,Berlin,,,http://www.karsten-dietrich.de/,52.4748861,13.3138351,"https://www.google.com/maps/search/?api=1&query=52.4748861,13.3138351"
Dr. Tatjana Hussain,Unter den Eichen,62,12203,Berlin,+49 30 8328788,,,52.4461582,13.2940298,"https://www.google.com/maps/search/?api=1&query=52.4461582,13.2940298"
Dr. Teichmann,Nazarethkirchstraße,56,13347,Berlin,+49 30 4567616,,,52.5472752,13.3583453,"https://www.google.com/maps/search/?api=1&query=52.5472752,13.3583453"
Dr. Terkhany,Grüner Weg,46,12359,Berlin,+49 30 6012098,,https://www.zahnarzt-britz.de/,52.4415436,13.4546002,"https://www.google.com/maps/search/?api=1&query=52.4415436,13.4546002"
Dr. Thielicke,,,,Berlin,,,,52.5598663,13.3494698,"https://www.google.com/maps/search/?api=1&query=52.5598663,13.3494698"
Dr. Thomas Badke & Partner,,,,Berlin,+49 30 9799522 0,rezeption@familienpraxis.berlin,https://familienpraxis.berlin/,52.5396877,13.5056661,"https://www.google.com/maps/search/?api=1&query=52.5396877,13.5056661"
Dr. Thomas Hohlfeld,,,,Berlin,+49 30 4 91 15 03,praxis-dr.hohlfeld@mail.de,https://dr-thomas-hohlfeld.jimdofree.com/,52.5714023,13.3800887,"https://www.google.com/maps/search/?api=1&query=52.5714023,13.3800887"
"Dr. Thorsten Gehrke, Carola Busse-Gehrke",Zimmermannstraße,2,12163,Berlin,,,https://paropraxisberlin.de/,52.4596865,13.3225261,"https://www.google.com/maps/search/?api=1&query=52.4596865,13.3225261"
Dr. Udo Sauer,Sarrazinstraße,23,12159,Berlin,,,,52.4737224,13.3298095,"https://www.google.com/maps/search/?api=1&query=52.4737224,13.3298095"
Dr. Ulrich Weik,,,,Berlin,,,,52.4533576,13.4380476,"https://www.google.com/maps/search/?api=1&query=52.4533576,13.4380476"
Dr. Uta Janssen,Manfred-von-Richthofen-Straße,18,12101,Berlin,,,https://www.zahnarzt-in-tempelhof.de/,52.4831902,13.3818654,"https://www.google.com/maps/search/?api=1&query=52.4831902,13.3818654"
Dr. Uta Lemke,Pestalozzistraße,80,10627,Berlin,+49 30 31805758,,,52.507718,13.3079537,"https://www.google.com/maps/search/?api=1&query=52.507718,13.3079537"
Dr. Vanja Bohinc-Abbate,Niebuhrstraße,62,10629,Berlin,+49 30 3247637,,,52.5043988,13.3106379,"https://www.google.com/maps/search/?api=1&query=52.5043988,13.3106379"
Dr. Waldemar Goldin,Oberhofer Weg,2,12209,Berlin,+49 30 7723094,zahnarztgoldin@aol.com,https://www.zahnarztgoldin.de,52.4273347,13.3262748,"https://www.google.com/maps/search/?api=1&query=52.4273347,13.3262748"
Dr. Weibrecht,,,,Berlin,,,,52.5015153,13.4522867,"https://www.google.com/maps/search/?api=1&query=52.5015153,13.4522867"
Dr. Werner H. Mendler,Aßmannshauser Straße,11,14197,Berlin,,,,52.4749865,13.3139363,"https://www.google.com/maps/search/?api=1&query=52.4749865,13.3139363"
Dr. Wolfgang Bender,,,,Berlin,,,,52.4532862,13.4386186,"https://www.google.com/maps/search/?api=1&query=52.4532862,13.4386186"
Dr.med.dent. Birgit Kühne,Florian-Geyer-Straße,98,12489,Berlin,+49 30 677 29 78,,https://gzm-heilraum-96.de/,52.4380006,13.5434723,"https://www.google.com/maps/search/?api=1&query=52.4380006,13.5434723"
Dr.med.dent. Stefan Rattunde,Olympische Straße,10,,Berlin,+49 30 3042313,,https://www.zahnarzt-rattunde.de/,52.5166261,13.2581307,"https://www.google.com/maps/search/?api=1&query=52.5166261,13.2581307"
Dres. Zimny & Kollegen,Uhlandstraße,53,,Berlin,,,https://www.zahnarzt-zimny.de/,52.4961549,13.3237877,"https://www.google.com/maps/search/?api=1&query=52.4961549,13.3237877"
Dörfer Kieferorthopädie,Tauentzienstraße,5,10789,Berlin,+49 30 54 71 67 400,praxis-tauentzien@dr-doerfer.de,https://www.dr-doerfer.de/,52.5028885,13.3408758,"https://www.google.com/maps/search/?api=1&query=52.5028885,13.3408758"
edelweisslab,Augsburger Straße,39,,Berlin,,,,52.5025271,13.3323356,"https://www.google.com/maps/search/?api=1&query=52.5025271,13.3323356"
Endopraxis Berlin,Weseler Straße,17,10318,Berlin,+49 30 5090606,info@endopraxis.berlin,,52.4832083,13.5273327,"https://www.google.com/maps/search/?api=1&query=52.4832083,13.5273327"
Erhard Templiner,Eichborndamm,243,13437,Berlin,,,,52.5906844,13.3252867,"https://www.google.com/maps/search/?api=1&query=52.5906844,13.3252867"
F. Brouwer & M. Lehmensiek,Potsdamer Straße,116,10785,Berlin,+49 30 2651189,,http://www.prophylaxe-arzt.de/,52.5003158,13.3628555,"https://www.google.com/maps/search/?api=1&query=52.5003158,13.3628555"
F. Michel,Oderstraße,10,10247,Berlin,+49 30 2910070,,,52.511357,13.4679514,"https://www.google.com/maps/search/?api=1&query=52.511357,13.4679514"
Fachzahnarztpraxis für Oralchirurgie Implantologie,Britzer Damm,73,12347,Berlin,+49 30 6066088,,,52.4561475,13.437459,"https://www.google.com/maps/search/?api=1&query=52.4561475,13.437459"
Fachzentrum für Zahnheilkunde und Implantologie,Karl-Marx-Allee,105A,10243,Berlin,+49 30 4227254,kontakt@zap-kama105a.de,http://www.zap-kama105a.de/,52.5175395,13.4451958,"https://www.google.com/maps/search/?api=1&query=52.5175395,13.4451958"
Fadila Sörensen,Berliner Straße,154,10715,Berlin,,,,52.4869995,13.3304054,"https://www.google.com/maps/search/?api=1&query=52.4869995,13.3304054"
Faire Dentaire Dr. Ladwig,Albrechtstraße,70,12167,Berlin,+49 30 7953559,,http://www.fairedentaire.de,52.4472213,13.3422139,"https://www.google.com/maps/search/?api=1&query=52.4472213,13.3422139"
FAMDENTAL – Zahnarzt Berlin Mitte,,,,Berlin,+49 30 23457373,info@famdental.de,https://zahnarzt-mitte.com/kontakt/,52.5268099,13.4140378,"https://www.google.com/maps/search/?api=1&query=52.5268099,13.4140378"
Familienzahnmedizin Frohnau,Ludolfingerplatz,4,13465,Berlin,+49 30 401 45 45,,,52.6331606,13.2880872,"https://www.google.com/maps/search/?api=1&query=52.6331606,13.2880872"
Familienzahnmedizin Prenzlauer Berg,Schivelbeiner Straße,19,10439,Berlin,+49 30 67891875,info@zahnarzt-prenzlauerberg.de,https://zahnarztpraxis-panescu.de/,52.5514931,13.4048324,"https://www.google.com/maps/search/?api=1&query=52.5514931,13.4048324"
Faruk Yashar & Kollegen,Oppelner Straße,46-47,,Berlin,+49 30 6126863,,https://zahnarztpraxis-friedrichshain-kreuzberg.de/,52.5001329,13.4414402,"https://www.google.com/maps/search/?api=1&query=52.5001329,13.4414402"
Feine Zähne,Detmolder Straße,2,10715,Berlin,,,,52.4788701,13.3271985,"https://www.google.com/maps/search/?api=1&query=52.4788701,13.3271985"
Felix Stukenborg,Muthesiusstraße,38,12163,Berlin,,,https://praxis-stukenborg.de/,52.460213,13.3176255,"https://www.google.com/maps/search/?api=1&query=52.460213,13.3176255"
Frank Hoffmann,,,,Berlin,,,,52.4327266,13.4719912,"https://www.google.com/maps/search/?api=1&query=52.4327266,13.4719912"
Frank Mertens,Goebenstraße,25,10783,Berlin,,,,52.4943023,13.3631985,"https://www.google.com/maps/search/?api=1&query=52.4943023,13.3631985"
froben 11 Zahnarztpraxis,Frobenstraße,11,10783,Berlin,+49 30 2164205,,https://www.froben11.de/,52.4965616,13.3586882,"https://www.google.com/maps/search/?api=1&query=52.4965616,13.3586882"
G. Dochow,Rheinstraße,30,12161,Berlin,,,,52.4669579,13.3300217,"https://www.google.com/maps/search/?api=1&query=52.4669579,13.3300217"
Geist,,,,Berlin,,,,52.5741933,13.31312,"https://www.google.com/maps/search/?api=1&query=52.5741933,13.31312"
Gemeinschaftspraxis Zahnärtzinnen Bislanis,Nogatstraße,25,12051,Berlin,,,,52.4693197,13.4311322,"https://www.google.com/maps/search/?api=1&query=52.4693197,13.4311322"
Georg Scherpf Zahnarzt,Fürstendamm,66,13465,Berlin,+4930 401 30 70,scherpf@scherpf.de,http://scherpf.de/,52.6326364,13.2931515,"https://www.google.com/maps/search/?api=1&query=52.6326364,13.2931515"
George Chirilas,Weisestraße,13,12049,Berlin,+49 30 6216097,,,52.4778646,13.4235977,"https://www.google.com/maps/search/?api=1&query=52.4778646,13.4235977"
Gohdarz Hajo und Cheirko Hajo,Emser Straße,26,12051,Berlin,+49 30 62845859,,,52.4689868,13.4338884,"https://www.google.com/maps/search/?api=1&query=52.4689868,13.4338884"
Goncy Geyik,Mariendorfer Damm,78,12109,Berlin,,,https://www.praxisgeyik.de/,52.4457697,13.385438,"https://www.google.com/maps/search/?api=1&query=52.4457697,13.385438"
Grietje Franken,Bernauer Straße,132a,13507,Berlin,+49 30 43566767,,https://www.zahnarzt-tegel-sued.de/,52.5759456,13.2777074,"https://www.google.com/maps/search/?api=1&query=52.5759456,13.2777074"
Grundmann Dentistry,Parrisiusstraße,2,12555,Berlin,+49 30 6571444,,https://www.grundmann-dentistry.de/,52.457186,13.578565,"https://www.google.com/maps/search/?api=1&query=52.457186,13.578565"
Gunther Schwarz,Goßlerstraße,29,12161,Berlin,,,,52.4706824,13.3273821,"https://www.google.com/maps/search/?api=1&query=52.4706824,13.3273821"
Göpner + Göpner | Stefan Gerlach,Württembergallee,1,14052,Berlin,,,,52.5096681,13.2664777,"https://www.google.com/maps/search/?api=1&query=52.5096681,13.2664777"
Hajo Hantel,,,,Berlin,+49 30 9248384,mail@zahnarzt-hantel.de,https://www.zahnarzt-hantel.de/,52.5528283,13.4376516,"https://www.google.com/maps/search/?api=1&query=52.5528283,13.4376516"
Hans-Peter Fusenig,Sachsenwaldstraße,29,12157,Berlin,,,,52.4626999,13.3415963,"https://www.google.com/maps/search/?api=1&query=52.4626999,13.3415963"
happybite Zahnzentrum,Lehrter Straße,23B,10557,Berlin,,,https://www.happybite-berlin.de,52.5305724,13.3623335,"https://www.google.com/maps/search/?api=1&query=52.5305724,13.3623335"
Harald Roller,Hauptstraße,100,10827,Berlin,+49 30 7820307,,https://www.mein-zahnarzt-in-schoeneberg.de/,52.4796583,13.3459194,"https://www.google.com/maps/search/?api=1&query=52.4796583,13.3459194"
Harald Zirkler,Hauptstraße,111,10827,Berlin,,,http://www.zahnarzt-zirkler.de/,52.48139,13.3482225,"https://www.google.com/maps/search/?api=1&query=52.48139,13.3482225"
Harry H. O. Einfeld,Wilhelmstraße,45,10117,Berlin,,,,52.5118402,13.3835297,"https://www.google.com/maps/search/?api=1&query=52.5118402,13.3835297"
